SINGH_NFE2L2_TARGETS,DepMap_ID
3736.97833,ACH-000449
3733.01919178158,ACH-000545
3721.5368505833794,ACH-000361
3720.9660416240495,ACH-000172
3712.7775698432897,ACH-000075
3710.7561533387297,ACH-000184
3705.8953398312105,ACH-001402
3705.657651,ACH-000632
3699.1885599522207,ACH-000824
3682.692219,ACH-000587
3677.980701,ACH-000817
3675.11545,ACH-000899
3673.6273088816,ACH-000716
3673.317257,ACH-000307
3671.832384,ACH-000883
3667.554202,ACH-000063
3663.689908,ACH-001412
3660.1276554609294,ACH-000222
3659.719837,ACH-001456
3656.315704,ACH-000755
3653.8920377854,ACH-001332
3652.280624,ACH-000653
3651.037505,ACH-000185
3648.26145149118,ACH-000558
3647.88876590322,ACH-000135
3642.47899,ACH-000111
3640.174788553221,ACH-000651
3636.7349111034714,ACH-000927
3636.287733,ACH-000288
3633.0098429735694,ACH-000109
3632.28234162697,ACH-000562
3632.036833367029,ACH-001078
3627.322428595901,ACH-000677
3624.9274892831104,ACH-000180
3620.214706,ACH-000966
3619.094027,ACH-000862
3608.2756955492896,ACH-000556
3606.08410903366,ACH-001407
3605.3419581241706,ACH-000251
3601.4867984310104,ACH-000092
3600.835533,ACH-000808
3599.2417363387704,ACH-000699
3598.577971,ACH-000598
3593.40077,ACH-000849
3589.6191300368896,ACH-000580
3585.260807,ACH-000314
3583.4541650166707,ACH-001413
3579.290488,ACH-000623
3578.3450446396505,ACH-000655
3578.088747,ACH-000080
3577.241821,ACH-000007
3572.026462,ACH-000697
3571.805889,ACH-000958
3571.7467943801503,ACH-000412
3570.50671,ACH-001555
3568.915387,ACH-000464
3567.9987794278004,ACH-000448
3565.203311,ACH-000796
3562.666742,ACH-001356
3554.752519,ACH-000186
3553.4517883613503,ACH-000931
3548.3041994412297,ACH-000106
3537.8650620452795,ACH-000425
3530.572038,ACH-001558
3530.23298,ACH-000908
3524.70684828428,ACH-000142
3516.326905,ACH-000333
3513.350164,ACH-001857
3511.4421595994204,ACH-000746
3507.5480053290003,ACH-000413
3505.1259242413003,ACH-000328
3503.16431,ACH-000223
3495.59157258212,ACH-000230
3490.496029,ACH-000813
3489.9045632597304,ACH-001328
3485.039625,ACH-000225
3484.547936,ACH-000400
3483.950759,ACH-000380
3483.326815,ACH-000880
3480.630141,ACH-000627
3474.236251,ACH-001848
3472.392837,ACH-000094
3468.760698,ACH-001142
3466.571964,ACH-001548
3463.122737,ACH-001414
3462.475362,ACH-000647
3457.016772,ACH-000822
3455.572081,ACH-000925
3449.663148,ACH-000685
3447.137079,ACH-000949
3440.9971460494103,ACH-000173
3440.163246,ACH-000127
3436.666142,ACH-000957
3432.590058,ACH-000829
3431.93536,ACH-000604
3428.628065,ACH-000535
3426.622645,ACH-000810
3426.2973525722805,ACH-000079
3424.9768463120195,ACH-000407
3420.872102,ACH-000898
3415.99007116264,ACH-000047
3413.494799,ACH-000178
3410.2589946208504,ACH-000763
3409.888631,ACH-001075
3406.764042,ACH-001610
3403.478048,ACH-000410
3401.731118,ACH-000542
3399.770798,ACH-001183
3398.5703051550604,ACH-000836
3397.599036,ACH-000897
3395.8161186732696,ACH-000340
3386.260562,ACH-000907
3380.174557,ACH-000845
3374.6907995986303,ACH-000360
3368.263314,ACH-000242
3367.04833127296,ACH-000232
3367.004508,ACH-000176
3363.5940202113898,ACH-000306
3362.6488217864803,ACH-000260
3353.512555,ACH-000630
3352.460291,ACH-000608
3348.924412,ACH-000522
3345.266716719289,ACH-000265
3338.990413,ACH-000732
3338.5681678784304,ACH-000694
3338.0309351304804,ACH-000895
3336.3339025218897,ACH-000715
3336.0460334779305,ACH-001849
3326.415626,ACH-000773
3323.2295533706297,ACH-000353
3322.858692,ACH-000553
3321.389015,ACH-000144
3317.9862962520897,ACH-000468
3317.830829,ACH-000923
3316.8078810906104,ACH-000264
3314.4981522578496,ACH-000900
3312.9582164110498,ACH-000207
3309.984157,ACH-000435
3306.03259,ACH-000790
3303.957774,ACH-000494
3302.6853263386,ACH-000033
3301.560405,ACH-000704
3299.31900479772,ACH-000696
3294.077755,ACH-000577
3291.638732,ACH-000858
3290.853427,ACH-001552
3290.36611,ACH-000807
3282.393686,ACH-001409
3276.3803926647,ACH-000912
3274.4907259213896,ACH-000999
3270.889675,ACH-000479
3269.876769,ACH-000337
3267.375192,ACH-000595
3262.7929334672604,ACH-000090
3255.48639,ACH-000930
3253.47981035108,ACH-000339
3250.1691647778803,ACH-001647
3247.322412,ACH-000040
3245.81492040814,ACH-000868
3245.4124601931603,ACH-001369
3245.015807,ACH-000255
3241.7761808429805,ACH-000833
3240.987372,ACH-000392
3236.215822163,ACH-000097
3234.209394,ACH-000294
3228.530588,ACH-000622
3224.755144,ACH-001346
3216.397797,ACH-001373
3214.826321,ACH-000875
3214.7898206272803,ACH-000511
3206.370407,ACH-000175
3203.533049,ACH-000955
3201.162998,ACH-000383
3193.497231,ACH-000749
3191.825238,ACH-001556
3191.3390270401896,ACH-000060
3188.83613,ACH-001303
3185.3789445912203,ACH-000991
3177.8465714940303,ACH-000374
3174.963126,ACH-001793
3166.264959,ACH-001668
3166.132405,ACH-000083
3154.630287,ACH-000152
3151.460136,ACH-000565
3150.6250597050102,ACH-001048
3150.2948087960303,ACH-000634
3145.5243613261896,ACH-000748
3137.247261,ACH-000344
3136.321334,ACH-000473
3133.570674,ACH-000617
3124.54436,ACH-000988
3124.125757,ACH-000860
3123.211498,ACH-000599
3122.4742310969896,ACH-000188
3119.480839,ACH-000019
3119.203714,ACH-000673
3109.647078,ACH-000241
3104.94373936628,ACH-000970
3103.72055,ACH-000913
3099.127691,ACH-000643
3096.334533,ACH-001814
3095.293621,ACH-000430
3094.872022,ACH-000961
3093.726785,ACH-000738
3086.774419,ACH-000842
3086.569279,ACH-000379
3086.095578,ACH-000543
3084.87576,ACH-000145
3081.7528487488503,ACH-000613
3077.359107,ACH-000889
3076.9904566478003,ACH-000421
3073.175592,ACH-000718
3071.923741,ACH-000976
3067.3916078937104,ACH-000274
3066.152255,ACH-000635
3049.756793,ACH-000576
3047.306303,ACH-000989
3045.7930378117403,ACH-001376
3043.998585,ACH-000279
3042.6011663512604,ACH-001550
3033.18982934352,ACH-000711
3031.869514,ACH-000467
3029.902183,ACH-000933
3029.44118,ACH-000460
3028.5985704738105,ACH-000759
3026.315504,ACH-000753
3023.575732,ACH-001842
3020.926331,ACH-000066
3018.8135267257203,ACH-000439
3018.223004,ACH-000376
3016.014582,ACH-000486
3014.475954,ACH-001530
3012.812829,ACH-000638
3008.4410930479403,ACH-000549
3006.10639,ACH-000049
3005.5716507219704,ACH-000071
3002.436899,ACH-001353
2996.5265958804403,ACH-000987
2988.689267,ACH-000196
2988.2566104450702,ACH-000427
2986.235205,ACH-000527
2979.299918,ACH-000072
2973.9037219982897,ACH-000424
2968.195695,ACH-000626
2964.15912,ACH-000591
2962.211653,ACH-000261
2959.85869,ACH-001454
2959.531163,ACH-000209
2958.7902120238105,ACH-000505
2958.067569,ACH-000466
2956.2256510233697,ACH-000249
2953.837452,ACH-000293
2952.056014,ACH-001344
2949.498724,ACH-000330
2948.984936,ACH-001526
2947.285263,ACH-000018
2944.693411,ACH-000487
2937.3194217233504,ACH-000350
2935.18669318754,ACH-000266
2933.2211860636303,ACH-000596
2930.379369,ACH-000441
2929.592451,ACH-000133
2927.978624,ACH-000867
2913.2440846894606,ACH-000967
2904.375771909989,ACH-000969
2902.440594,ACH-000717
2886.6282071650203,ACH-000575
2885.806452,ACH-000146
2881.0981435544395,ACH-000469
2878.5738845314195,ACH-001340
2875.312774,ACH-000839
2874.9167867127803,ACH-001374
2872.308548,ACH-000006
2868.1705195372,ACH-000570
2866.967628,ACH-000669
2863.252393,ACH-000517
2862.7055237764,ACH-000308
2856.7407651182107,ACH-000143
2854.346406262669,ACH-001960
2852.5426940186303,ACH-000901
2852.52232,ACH-001239
2845.5236523147496,ACH-000301
2844.645266,ACH-000804
2842.214261,ACH-000777
2838.06713891076,ACH-000510
2835.835438,ACH-001838
2833.658821,ACH-000244
2831.4263565253805,ACH-000397
2828.13076091874,ACH-000500
2826.129245516,ACH-000042
2823.019493,ACH-000391
2816.47465,ACH-000318
2814.9067310877504,ACH-000322
2812.37115,ACH-000552
2811.2776658923603,ACH-000476
2810.471467,ACH-000401
2809.3814623124103,ACH-001791
2807.762609,ACH-001607
2799.428225,ACH-001111
2795.473354,ACH-001562
2792.388156,ACH-000724
2782.44309817384,ACH-000028
2780.613851,ACH-000139
2778.873477,ACH-000879
2778.496677,ACH-000783
2766.0908157432395,ACH-000816
2763.585522,ACH-000802
2760.2082823621995,ACH-001399
2754.5634757513103,ACH-000335
2754.15421206714,ACH-000426
